Name,Type,Description,Target Components / Interfaces,Affected Components / Interfaces,Reference
MOBIFLOW via SECSM,Defense,O-RAN E2SM-based audit stream generating fine-grained L3 telemetry from CU/DU; validated on testbed. [Testbed],"O-CU, O-DU, Near-RT RIC, E2 Interface, F1 Interface","O-CU, O-DU, Near-RT RIC",5G-SPECTOR: An O-RAN Compliant Layer-3 Cellular Attack Detection Service
MOBIEXPERT xApp IDS,Defense,P-BEST rule-based xApp detects 7 L3 attacks; scaled to 11 variants and 31 traces with low overhead. [Testbed],"Near-RT RIC, E2 Interface","O-CU, O-DU, Near-RT RIC",5G-SPECTOR: An O-RAN Compliant Layer-3 Cellular Attack Detection Service
Digital targeted PGD,Attack,White-box attack perturbing xApp GNN inputs via softmax-targeted PGD to overload cells. [Testbed],"Near-RT RIC, xApps",,Enhancing O-RAN Security: Evasion Attacks and Robust Defenses for Graph Reinforcement Learning-based Connection Management
Physical PGD on RSRP,Attack,Over-the-air jamming perturbs UEs’ RSRP within PNR bound; white/black-box optimization evaluated. [Testbed],"Airlink, UE",,Enhancing O-RAN Security: Evasion Attacks and Robust Defenses for Graph Reinforcement Learning-based Connection Management
Patch physical attack,Attack,Mask-limited jamming perturbs only a subset of UEs’ RSRP; observed coverage drops. [Testbed],"Airlink, UE",,Enhancing O-RAN Security: Evasion Attacks and Robust Defenses for Graph Reinforcement Learning-based Connection Management
Adversarial training Graph based,Defense,Fine-tunes DQN with PGD-perturbed trajectories across PNR budgets; restores ~15% coverage under physical attacks. [Testbed],"Near-RT RIC, xApps",,Enhancing O-RAN Security: Evasion Attacks and Robust Defenses for Graph Reinforcement Learning-based Connection Management
C-Plane DoS Attacker,Attack,"Linux tool flooding eCPRI C-Plane packets; validated on DU-RU testbed, showing U-Plane loss at O-DU/O-RU across traffic rates. [Testbed]","Fronthaul Interface, O-DU, O-RU","O-DU, O-RU",Development of C-plane DoS attacker for O-RAN FHI
Anomaly Traffic Detector (ATD),Preventative Measure,"Custom ATD inspects UPF traffic, classifies anomalies with Random Forest; drives xApp decisions; evaluated on OAI/FlexRIC testbed. [Testbed]",External Components,,AI-Driven Network Intrusion Detection and Resource Allocation in Real-World O-RAN 5G Networks
OAITT A1 Security Testing Tool,Preventative Measure,"Open-source tool testing A1 TLS/Oauth, fuzzing, tampering, and DoS; evaluated on μONOS and OSC. [Code]","Near-RT RIC, A1 Interface",,Security Testing The O-RAN Near-Real Time RIC \& A1 Interface
A1 Policy Tampering Attack,Attack,Malicious Non-RT RIC modifies or deletes another's A1 policies; demonstrated against μONOS with message sequence. [Testbed],"Near-RT RIC, A1 Interface, Non-RT RIC","Near-RT RIC, A1 Interface",Security Testing The O-RAN Near-Real Time RIC \& A1 Interface
Malicious xApp attack,Attack,xApp perturbs spectrogram/KPM test data to mislead inference; evaluated causing network degradation on OTA O-RAN testbed. [Testbed],"Near-RT RIC, xApps",UE,System-level Analysis of Adversarial Attacks and Defenses on Intelligence in O-RAN based Cellular Networks
Distillation defense,Defense,Teacher-student distillation with high/low softmax temperatures; deployed within xApp; restores accuracy against adversarial data attacks in near-RT RIC. [Testbed],"Near-RT RIC, xApps",UE,System-level Analysis of Adversarial Attacks and Defenses on Intelligence in O-RAN based Cellular Networks
Adversarial training,Defense,Augments training with adversarial examples (epsilon 0.02) and evaluates robustness versus attacks under near-RT constraints. [Testbed],"Near-RT RIC, xApps",UE,System-level Analysis of Adversarial Attacks and Defenses on Intelligence in O-RAN based Cellular Networks
MOBIWATCH anomaly detector,Defense,Unsupervised xApp detects anomalous sequences; achieved 100% recall across five attacks in testbed. [Testbed],"Near-RT RIC, E2 Interface",,6G-XSec: Explainable Edge Security for Emerging OpenRAN Architectures
LLM expert referencing,Defense,LLM xApp classifies and explains anomalies using prompt templates; evaluated across multiple LLMs. [Testbed],Near-RT RIC,,6G-XSec: Explainable Edge Security for Emerging OpenRAN Architectures
OAI UE-based RRC Fuzzer,Defense,Injection fuzzer on OAI UE mutates or generates RRC/NAS before PDCP; demonstrated in O-RAN lab with packet captures. [Testbed],"UE, Airlink, O-CU, O-DU, F1 Interface",,5G/O-RAN Security Automated Testing
IDSx xApp,Defense,Self-attention RNN autoencoder detects intrusions; trained and tested on wireless attack scenarios; demonstrated jamming detection. [Testbed],"Near-RT RIC, E2 Interface",,Advancing O-RAN Security: Integrated Intrusion Detection and Secure Slicing xApps
Secure Slicing xApp,Defense,"Dynamically isolates malicious UEs to low-resource slice via E2 control, suppressing throughput after IDS alerts. [Testbed]","Near-RT RIC, E2 Interface",UE,Advancing O-RAN Security: Integrated Intrusion Detection and Secure Slicing xApps
Anomaly Traffic Detector,Defense,"Real-time detector using state machine and conformance checks; blocks malformed, out-of-sequence, and DoS traffic; validated via fuzzer and O-RAN tests. [Testbed]","Near-RT RIC, E2 Interface, xApps, O-CU, O-DU","Near-RT RIC, E2 Interface",Anomaly Detection for Mitigating xApp and E2 Interface Threats in O-RAN Near-RT RIC
State Machine Analysis Module,Preventative Measure,FSM validates E2AP/xApp signaling order; blocks illegal sequences and RMR spoofing; demonstrated preventing CVE-2023-41628/41627 impacts. [Testbed],"Near-RT RIC, E2 Interface, xApps",Near-RT RIC,Anomaly Detection for Mitigating xApp and E2 Interface Threats in O-RAN Near-RT RIC
Conformance Check Module,Preventative Measure,Validates packet formats and monitors traffic rates; blocks malformed RMR/E2AP and mitigates DoS; prevented CVE-2023-40997/40998 crashes. [Testbed],"Near-RT RIC, E2 Interface, xApps",Near-RT RIC,Anomaly Detection for Mitigating xApp and E2 Interface Threats in O-RAN Near-RT RIC
E2/RMR Fuzzer,Attack,"Generates randomized, mutated RMR and E2AP packets from xApps/E2 nodes to stress and exploit targets; triggered multiple CVEs in evaluation. [Testbed]","E2 Interface, xApps, O-CU, O-DU",Near-RT RIC,Anomaly Detection for Mitigating xApp and E2 Interface Threats in O-RAN Near-RT RIC
TrustORAN Zero-Trust,Defense,Blockchain zero-trust for xApp authentication/authorization; implemented on private/public blockchains with performance evaluation. [Code],"Near-RT RIC, xApps","Near-RT RIC, xApps",Blockchain Meets O-RAN: A Decentralized Zero-Trust Framework for Secure and Resilient O-RAN in 6G and Beyond
Access Control Contracts,Defense,Smart-contract ACCs enforce per-xApp policies and tokens; PEP verifies signatures and validity before granting access. [Code],"Near-RT RIC, xApps","Near-RT RIC, xApps",Blockchain Meets O-RAN: A Decentralized Zero-Trust Framework for Secure and Resilient O-RAN in 6G and Beyond
Conflict Mitigation Framework (CMF),Defense,Near-RT RIC framework with CD/CR agents to detect and resolve all xApp conflict types; validated via O-RAN network simulation. [Testbed],Near-RT RIC,,Conflict Mitigation Framework and Conflict Detection in O-RAN Near-RT RIC
UE RBS detector (stability ML),Defense,Android UE ML detector using SSB signal-stability (std. deviation); evaluated >99% accuracy on operational and rogue BS datasets. [Testbed],UE,,Developing xApps for Rogue Base Station Detection in SDR-Enabled O-RAN
OZTrust access control,Defense,Per-packet tagging and verification using xApp-specific contexts; verification at xApp VIF; prototype prevents unauthorized API use and lateral movement. [Testbed],"Near-RT RIC, xApps","Near-RT RIC, xApps",OZTrust: An O-RAN Zero-Trust Security System
Bearer Migration Poisoning (BMP),Attack,Poison RIC to trigger false bearer migration; causes blackholes  ~10× signalling cost and ≈0 Mbps throughput. [Testbed],"Near-RT RIC, O-CU,  O-DU,  xApps,  E2 Interface, E1 Interface, F1 Interface","UE, O-DU, O-CU",Poisoning Bearer Context Migration in O-RAN 5G Network
XRF xApp security framework,Defense,"OAuth2-based authentication, authorization, and service discovery for xApps; implemented and evaluated on a Kubernetes microservice testbed. [Testbed]","xApps, Near-RT RIC","xApps, Near-RT RIC",Securing 5G OpenRAN with a Scalable Authorization Framework for xApps
Remote token introspection,Defense,"Validates JWTs by forwarding tokens to the server’s introspection endpoint, which checks and returns validity. [Code]",xApps,xApps,Securing 5G OpenRAN with a Scalable Authorization Framework for xApps
E2 IPsec ESP Tunnel,Defense,Implemented IPsec ESP tunnel on E2; measured latency and throughput impacts on Colosseum O-RAN testbed. [Testbed],E2 Interface,E2 Interface,Securing O-RAN Open Interfaces
Open Fronthaul MACsec,Defense,Configured and evaluated MACsec (with/without encryption) on fronthaul via trace-driven emulation; quantified added delay and throughput effects. [Testbed],Fronthaul Interface,Fronthaul Interface,Securing O-RAN Open Interfaces
RMR Table Hijack,Attack,"Malicious xApp repeatedly subscribes to E2, hijacking RMR routing and starving legitimate xApps. Demonstrated experimentally. [Testbed]","Near-RT RIC, E2 Interface, xApps","xApps, Near-RT RIC, O-CU, O-DU, O-RU, UE",Security Threats to xApps Access Control and E2 Interface in O-RAN
E2 Termination DoS,Attack,"Malicious xApp sends out-of-order RIC subscription responses, crashing E2 Termination and paralyzing E2 service. Demonstrated experimentally. [Testbed]","Near-RT RIC, E2 Interface, xApps","E2 Interface, Near-RT RIC, O-CU, O-DU, O-RU, UE",Security Threats to xApps Access Control and E2 Interface in O-RAN
E2 ARP spoofing MitM,Attack,Simulate ARP spoofing on E2 to intercept KPM and disrupt SCTP/E2AP connectivity; demonstrated on srsRAN–FlexRIC testbed. [Testbed],"Near-RT RIC, O-CU, O-DU, E2 Interface","E2 Interface, Near-RT RIC, O-CU, O-DU",Simulation of an ARP Spoofing Attack on the E2 Interface in Open RAN
E2 IPsec automation,Preventative Measure,Automated configuration of O-RAN-compliant IPsec over E2; open-source tool. [Code],"Near-RT RIC, E2 Interface",,TRACTOR: Traffic Analysis and Classification Tool for Open RAN
KPI de-identification,Preventative Measure,Preprocess KPIs to remove identifiers and admin data to ensure user privacy. [Code],"Near-RT RIC, E2 Interface",,TRACTOR: Traffic Analysis and Classification Tool for Open RAN
ZTRAN Authentication xApp,Preventative Measure,"Layered MFA verifies UE, RAN, and E2 identifiers via E2; denies unauthorized access; validated on OAIC with denied UE. [Testbed]","Near-RT RIC, E2 Interface, UE",UE,ZTRAN: Prototyping Zero Trust Security xApps for Open Radio Access Network Deployments
ZTRAN Intrusion Detection xApp,Defense,"Behavior profiling from KPMs over E2 flags anomalies (e.g., flooding); false positives drop with more reports; evaluated on OAIC. [Testbed]","Near-RT RIC, E2 Interface, UE",UE,ZTRAN: Prototyping Zero Trust Security xApps for Open Radio Access Network Deployments
ZTRAN Secure Slicing xApp,Defense,"Isolates flagged UEs by reconfiguring slices via E2 to O-DU, throttling malicious traffic and protecting legitimate performance. [Testbed]","Near-RT RIC, O-DU, E2 Interface, O-RU, UE",UE,ZTRAN: Prototyping Zero Trust Security xApps for Open Radio Access Network Deployments
A1 MitM via ARP Poisoning,Attack,Execute ARP poisoning to intercept and modify A1 policies between controllers in O-RAN SC Release E. [Testbed],"Non-RT RIC, Near-RT RIC, A1 Interface","Non-RT RIC, Near-RT RIC, A1 Interface",Impact of Man-in-the-Middle Attacks to the O-RAN Inter-Controllers Interface
A1 PolicyID Confusion Overwrite,Attack,Forge A1 policy with existing PolicyID to overwrite Near-RT RIC policy and desynchronize controllers' states. [Testbed],"Non-RT RIC, A1 Interface","Non-RT RIC, Near-RT RIC",Impact of Man-in-the-Middle Attacks to the O-RAN Inter-Controllers Interface
FRONTSTORM Re-selection Storm,Attack,"Swapping RU MACs to steer cells, forcing RLF and re-selection; >1400 CU messages/min with 4 UEs. [Testbed]",Fronthaul Interface,"O-CU, UE",On the Criticality of Integrity Protection in 5G Fronthaul Networks
FRONTSTORM Handover Storm,Attack,"I/Q multiplexing and scaling to flip signal quality, triggering rapid handovers; >2500 CU messages/min with 4 UEs. [Testbed]",Fronthaul Interface,"O-CU, UE",On the Criticality of Integrity Protection in 5G Fronthaul Networks
FRONTSTRIKE Payload Corruption,Attack,Replace I/Q payloads to induce errors; throughput drops up to 76% DL and 85% UL at 150 pkts/s. [Testbed],Fronthaul Interface,UE,On the Criticality of Integrity Protection in 5G Fronthaul Networks
SSB Spoof via Wrong PCI,Attack,Modify downlink SSB to wrong PCI; new UEs cannot attach and existing UEs detach. [Testbed],Fronthaul Interface,UE,On the Criticality of Integrity Protection in 5G Fronthaul Networks
PRACH Corruption Attack,Attack,Corrupt uplink PRACH; blocks new UE attachments while existing UEs remain connected. [Testbed],Fronthaul Interface,UE,On the Criticality of Integrity Protection in 5G Fronthaul Networks
MACsec Integrity for Fronthaul,Preventative Measure,"Benchmark shows AES-NI MACsec adds ~2.4 µs, acceptable for fronthaul; recommend making integrity mandatory. [Testbed]",Fronthaul Interface,,On the Criticality of Integrity Protection in 5G Fronthaul Networks
ORANalyst testing framework,Preventative Measure,"End-to-end framework combining static and dynamic analysis to test O-RAN; evaluated on two RICs, finding 19 issues. [Code]","Near-RT RIC, E2 Interface",,ORANalyst: Systematic Testing Framework for Open RAN Implementations
Dynamic dependency tracing,Preventative Measure,Collects execution and network traces to derive component dependency chains and entry/exit points for each message. [Code],"Near-RT RIC, E2 Interface",,ORANalyst: Systematic Testing Framework for Open RAN Implementations
RIC DoS via crafted E2 messages,Attack,Demonstrates malicious RAN inputs crashing RIC components (e.g. E2T via E2SetupRequest) causing DoS. [Testbed],"E2 Interface, Near-RT RIC","Near-RT RIC, E2 Interface",ORANalyst: Systematic Testing Framework for Open RAN Implementations
Indication stream blockage attack,Attack,"Shows gRPC stream error-handling flaw blocks xApps’ processing, disabling communications indefinitely. [Testbed]","E2 Interface, xApps","Near-RT RIC, xApps, E2 Interface",ORANalyst: Systematic Testing Framework for Open RAN Implementations
Attack Detection xApp,Defense,CNN-based xApp detects DDoS in real time and flags attacker IPs; validated on live 5G testbed. [Testbed],"Near-RT RIC, E2 Interface",,xApps for DDoS Attacks Detection and Mitigation in 5G-V2X O-RAN Networks
Resource Control xApp,Defense,xApp dynamically reallocates radio resources to throttle attacker bandwidth after detection; maintains legitimate users’ service; shown in prototype. [Testbed],"Near-RT RIC, E2 Interface",UE,xApps for DDoS Attacks Detection and Mitigation in 5G-V2X O-RAN Networks
PTP Spoofing Attack,Attack,Spoofed Announce messages hijack BMCA master; triggers RU crash and gNB outage; shown on production and twin networks. [Testbed],"Fronthaul Interface, O-DU, O-RU","O-RU, O-DU, Airlink",TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
PTP Replay Attack,Attack,Captures and delays Sync/FollowUp; replays to inflate offset/delay; severely disrupts synchronization; evaluated on digital twin traces. [Testbed],"Fronthaul Interface, O-DU, O-RU","O-DU, O-RU",TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
TIMESAFE ML Detection,Defense,Transformer-based monitoring on DU detects PTP attacks with ≥97.5% accuracy; validated on production and twin environments. [Testbed],"O-DU, Fronthaul Interface",,TIMESAFE: Timing Interruption Monitoring and Security Assessment for Fronthaul Environments
NDT Security Architecture,Preventative Measure,"O-RAN NDT with security data collector, models, and management to train ML defenses and send policy updates; exercised in emulation. [Testbed]","A1 Interface, O1 Interface, O2 Interface, E2 Interface, Near-RT RIC, Non-RT RIC",,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
Hierarchical FL Anomaly Detector,Defense,Two-level FL (Near-RT and Non-RT RIC) LSTM classifier for slice anomaly detection,UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
UDP Poisson DDoS,Attack,Simulated UDP DDoS using Poisson arrivals and Normal packet sizes to create anomalous traffic. [Testbed],UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
Bandwidth Hog Attack,Attack,Mimics realistic arrivals but inflates payloads to congest network; generates stealthy anomalies. [Testbed],UE,,Federated Learning for Anomaly Detection in Open RAN: Security Architecture Within a Digital Twin
SleeperNets multi-KPM backdoor,Attack,Extends SleeperNets to poison multiple KPIs concurrently; implemented via MultiValuePoison; evaluated on O-RAN dataset. [Code],"Near-RT RIC, E2 Interface","UE, O-DU",How to Poison an xApp: Dissecting Backdoor Attacks to Deep Reinforcement Learning in Open Radio Access Networks
SleeperNets O-RAN offline poisoning,Attack,Applies SleeperNets backdoor poisoning to DRL xApps for PRB allocation; achieves >0.9 attack success on O-RAN dataset. [Code],"Near-RT RIC, E2 Interface",,How to Poison an xApp: Dissecting Backdoor Attacks to Deep Reinforcement Learning in Open Radio Access Networks
5G-Muffler-1,Attack,MITM on O-FH C/U plane alters PRACH Msg1 IQ samples to block random access; validated on commercial O-RAN. [Testbed],"O-RU, O-DU, Fronthaul Interface","UE, O-DU",5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
5G-Muffler-2,Attack,"Compromised O-RU injects fake/strong preambles or exploits exponent to suppress detection, DoSing shared cell; validated on FlexRAN-based O-DU. [Testbed]","O-RU, O-DU, Fronthaul Interface","UE, O-DU",5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
O-FH switch access hardening,Preventative Measure,Harden access control on O-FH switch to prevent unauthorized manipulation. [Theory],Fronthaul Interface,,5G-Muffler: Covert DoS Attacks over Open Fronthaul Interface of O-RAN 5G Network
UE Risk Analysis xApp,Defense,Classifies UE use cases and scores risk via scaled-deviation boundaries and threat-weighted distances; demonstrated with Ofcom data and alpha sweep. [Code],"Near-RT RIC, xApps",,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
xApp Misbehaviour Detection,Defense,"Monitors Near-RT RIC xApp traffic in real time, scoring deviations and triggering alerts or isolation of misbehaving xApps. [Theory]","Near-RT RIC, xApps",xApps,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
Resilience Management rApp,Defense,Automates redeployment of misbehaving xApps using Non-RT RIC and O-Cloud resources via O1/O2; zero-touch commissioning to maintain availability. [Theory],"Non-RT RIC, O1 Interface, O2 Interface, O-Cloud, xApps",xApps,Detection of UE Metric Data Poisoning in O-RAN: Automated Risk Analysis and Resilience
E2 Subscription Flood DoS,Attack,"Malicious xApp floods Near-RT RIC with E2 subscription requests, causing crashes or blocking connections; validated on FlexRIC and OSC [Testbed].","xApps, Near-RT RIC, E2 Interface",Near-RT RIC,Endless Subscriptions: Open RAN is Open to RIC E2 Subscription Denial of Service Attacks
E2 IPsec Encryption,Defense,"Add IPsec to E2 and empirically measure delay and throughput; delay <50 μs, throughput CPU-limited using iperf3 and ping. [Testbed]","E2 Interface, Near-RT RIC, O-CU, O-DU","E2 Interface, O-CU, O-DU","Implementing and Evaluating Security in O-RAN: Interfaces, Intelligence, and Platforms"
C&W Attack xApp,Attack,Malicious xApp perturbs KPI data via C&W to evade detector; accuracy falls to 16% on testbed. [Testbed],Near-RT RIC,xApps,Mitigating ML-Driven Adversarial Attacks on xApps Using Dynamic Defense Mechanisms
BIM Attack xApp,Attack,Malicious xApp applies BIM perturbations to KPI data; drops detector accuracy to about 10% on testbed. [Testbed],Near-RT RIC,xApps,Mitigating ML-Driven Adversarial Attacks on xApps Using Dynamic Defense Mechanisms
HybxLSTM xApp detection,Defense,Hybrid xLSTM+Conv with XGBoost detects backdoor attacks; evaluated on TON IoT and deployed as a Near-RT RIC xApp. [Testbed],"Near-RT RIC, E2 Interface",,Hybxlstm: a hybrid xLSTM-XGBoost model for securing O-RAN against backdoor attacks
E2 protection xApp,Defense,"Near-RT RIC xApp protecting E2 at layer 2 via static ARP, duplicate-MAC detection, cache deletion, blocking, restoration; validated on VM testbed within 0.2s. [Testbed]","Near-RT RIC, E2 Interface",E2 Interface,Integration of the Layer 2 Protection Extended Application for Open Ran: A Security by Design Approach
ARP spoofing on E2 interface,Attack,"Simulated ARP spoofing MitM to eavesdrop KPM and disable IP forwarding, disrupting E2 packet reception in VM testbed. [Testbed]",E2 Interface,E2 Interface,Integration of the Layer 2 Protection Extended Application for Open Ran: A Security by Design Approach