Sponsor,Publisher,Project,Description,Components,Lines of Code,Initial Release,Link
Linux Foundation,O-RAN Software Community,osc/RICAPP,"This includes open source sample xAPPs and platform applications that can we used for integration, testing, and demonstrations.",Near-RT RIC,,,
Linux Foundation,O-RAN Software Community,osc/RIC,"RIC Platform to support xAPPs with limited support for O1, A1, and E2 interfaces.",Near-RT RIC,,,
Linux Foundation,O-RAN Software Community,osc/OCU,The OCU should target an initial software deliverable with limited functionality. Focus on aa basic E2 interface to enable initial integration testing between RIC and OCU.,O-CU,,,
Linux Foundation,O-RAN Software Community,osc/ODUHIGH,Focus on initial L2 functional blocks based on seed code contributions.,O-DU,,,
Linux Foundation,O-RAN Software Community,osc/ODULOW,Focus on initial L1 functional blocks based on seed code contributions.,O-DU,,,
Linux Foundation,O-RAN Software Community,osc/ORU,"Out of scope for release ""A"".",O-RU,,,
Linux Foundation,O-RAN Software Community,osc/OAM,O1-related sysdev; initial dashboard for monitoring and demonstration of contributions. More ...,SMO,,,
Linux Foundation,O-RAN Software Community,osc/INF,Initial building blocks for infrastructure to run O-RAN NF components.,O-Cloud,,,
Linux Foundation,O-RAN Software Community,osc/NONRTRIC,"Non-Realtime RIC focus on feature functionality of A1-interface, R1 interface, and support rApp (applications). More ...","Non-RT RIC, SMO",,,
Linux Foundation,O-RAN Software Community,osc/SMO,The primary goal of the SMO project is to integrate different software artifacts of existing open-source projects creating a fully functional open-source Service Management and Orchestration (SMO).,SMO,,,
Linux Foundation,O-RAN Software Community,osc/AIMLFW,Initial AI/ML workflow implementation for O-RAN environment. Need to interact with another project to accomplish a whole life cycle management of the AI model.,"Non-RT RIC, Near-RT RIC",,,
EURECOM,OpenAirInterface,oai-ran,Implements gNB/eNB functions. Can be configured for O-RAN splits and supports interfaces like F1 and E2.,"O-CU, O-DU",,,
EURECOM,OpenAirInterface,oai-cn5g,"Implements 5G Core Network components (AMF, SMF, UPF etc). Needed for end-to-end testing.",External Components,,,
Software Radio Systems,srsRAN,snsRAN_Project/gNB,Main executable for srsRAN 5G gNB (typically runs monolithic CU/DU).,"O-CU, O-DU",,,
Software Radio Systems,srsRAN,srsRAN_Project/UE,Main executable for srsRAN 5G UE implementation.,UE,,,
Independent/Academic,,FlexRIC,"A lightweight, flexible Near-Real-Time RIC platform and SDK designed for research and experimentation.",Near-RT RIC,,,
Open Networking Foundation/Linux Foundation,Aether,SD-RAN,SD-RAN is an open software-based split-RAN. It includes a near real-time RIC (nRT-RIC) and a set of exemplar xApps. The Aether nRT-RIC is cloud native and builds on ONFâ€™s well established ONOS SDN Controller.,Near-RT RIC,,,